Sun's Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Devin Booker,36:58:00,13,21,0.619,3,8,0.375,3,3,1,1,5,6,8,1,0,6,4,32,23.7,+5
Kevin Durant,36:47:00,7,22,0.318,1,2,0.5,3,5,0.6,2,9,11,3,0,1,2,1,18,9.1,0
Josh Okogie,31:38:00,7,9,0.778,1,1,1,2,2,1,4,1,5,1,1,0,2,2,17,15.5,+2
Jusuf Nurkić,27:52:00,5,8,0.625,1,2,0.5,3,3,1,3,11,14,3,0,1,1,5,14,15.6,+2
Grayson Allen,20:55,0,6,0,0,5,0,0,0,,3,1,4,2,0,0,1,2,0,-2.2,-4
Eric Gordon,31:39:00,4,16,0.25,2,9,0.222,0,0,,1,3,4,1,1,1,1,2,10,2.6,+6
Drew Eubanks,19:14,1,3,0.333,0,0,,2,4,0.5,2,5,7,2,0,3,3,3,4,3.7,-2
Yuta Watanabe,17:53,3,5,0.6,2,4,0.5,0,0,,0,4,4,0,0,1,1,2,8,5.8,+7
Jordan Goodwin,14:11,1,4,0.25,0,1,0,0,0,,1,3,4,3,1,0,2,0,2,2.3,+7
Nassir Little,2:53,1,1,1,1,1,1,0,0,,0,1,1,0,1,0,0,1,3,3.6,-3
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keita Bates-Diop,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chimezie Metu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
,,,,,,,,,,,,,,,,,,,,,
Warrior's Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Klay Thompson,36:16:00,6,18,0.333,3,11,0.273,0,0,,1,6,7,3,0,1,3,3,15,5.9,+9
Chris Paul,34:13:00,4,15,0.267,0,6,0,6,7,0.857,1,5,6,9,2,0,1,0,14,14.2,+5
Stephen Curry,30:45:00,8,20,0.4,4,14,0.286,7,7,1,1,4,5,1,1,0,2,5,27,15.8,-9
Kevon Looney,27:58:00,3,6,0.5,0,0,,1,1,1,5,6,11,1,0,0,2,2,7,7.2,-11
Andrew Wiggins,27:17:00,4,12,0.333,0,3,0,2,3,0.667,1,0,1,0,0,1,0,3,10,3,-22
Gary Payton II,21:40,0,5,0,0,2,0,1,2,0.5,0,2,2,2,3,0,0,1,1,1.7,+15
Jonathan Kuminga,20:08,4,8,0.5,0,0,,4,6,0.667,3,3,6,1,2,1,2,5,12,9.6,+4
Dario Šarić,20:02,3,11,0.273,1,3,0.333,0,0,,4,3,7,1,0,2,0,3,7,5.1,+7
Moses Moody,17:59,4,6,0.667,2,4,0.5,1,2,0.5,1,2,3,0,3,1,1,1,11,11.6,-6
Cory Joseph,3:42,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,-12
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brandin Podziemski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,104,,